Disease,Common_Medicines
Malaria,"Artemisinin-based combination therapy (e.g., artemether‑lumefantrine); antipyretics (paracetamol)."
Typhoid,"Antibiotics (e.g., ceftriaxone, azithromycin) following local sensitivity; supportive care."
Dengue,"Supportive care (oral/IV fluids, paracetamol); avoid NSAIDs/aspirin due to bleeding risk."
Influenza (Flu),"Antiviral (e.g., oseltamivir) if indicated; supportive care (paracetamol, fluids)."
Common Cold,"Symptomatic treatment: paracetamol/antipyretics, decongestants, rest, fluids."
COVID-19,Supportive care; antivirals or specific therapies per guidelines for moderate/severe cases.
Pneumonia,"Antibiotics guided by age/setting (e.g., amoxicillin in many outpatient cases) and supportive care."
Measles,Symptomatic treatment and refer to a healthcare professional for diagnosis-specific medicines.
Chickenpox,Symptomatic treatment and refer to a healthcare professional for diagnosis-specific medicines.
Allergic Rhinitis,Anti-inflammatory measures and treat underlying cause; antibiotics if bacterial infection suspected.
Tonsillitis,Anti-inflammatory measures and treat underlying cause; antibiotics if bacterial infection suspected.
Tuberculosis,"First-line combination therapy (HRZE: isoniazid, rifampicin, pyrazinamide, ethambutol) per regimen."
Cholera,Symptomatic treatment and refer to a healthcare professional for diagnosis-specific medicines.
Herpes (HSV),Symptomatic treatment and refer to a healthcare professional for diagnosis-specific medicines.
Zika Virus,Supportive care; antivirals may be used when indicated (follow clinical guidelines).
Yellow Fever,"Antipyretics (e.g., paracetamol) and investigate underlying cause."
Rubella,Symptomatic treatment and refer to a healthcare professional for diagnosis-specific medicines.
Gastroenteritis,Anti-inflammatory measures and treat underlying cause; antibiotics if bacterial infection suspected.
Leptospirosis,Symptomatic treatment and refer to a healthcare professional for diagnosis-specific medicines.
Meningitis,Anti-inflammatory measures and treat underlying cause; antibiotics if bacterial infection suspected.
Mononucleosis,Symptomatic treatment and refer to a healthcare professional for diagnosis-specific medicines.
Bronchiectasis,"Bronchodilators, inhaled corticosteroids, and antibiotics if bacterial infection suspected; supportive care."
"Hemorrhagic Fever (e.g., Ebola)","Antipyretics (e.g., paracetamol) and investigate underlying cause."
Hepatitis A,Anti-inflammatory measures and treat underlying cause; antibiotics if bacterial infection suspected.
Hepatitis B,"Antiviral therapy for chronic infection (e.g., tenofovir) per specialist guidance."
Diabetes Mellitus,"Glycemic management with lifestyle measures, metformin, and/or insulin as clinically needed."
