Symptom,Disease
"fever, chills, sweating",Malaria
"fever, headache, weakness, abdominal pain",Typhoid
"fever, rash, joint pain, headache",Dengue
"fever, cough, sore throat, body ache",Influenza (Flu)
"runny nose, sneezing, mild fever",Common Cold
"dry cough, loss of taste or smell, fever",COVID-19
"chest pain, breathlessness, cough with mucus",Pneumonia
"skin rash, fever, swollen lymph nodes",Measles
"rash, itching, fatigue",Chickenpox
"sneezing, watery eyes, runny nose",Allergic Rhinitis
"severe sore throat, swollen tonsils, difficulty swallowing",Tonsillitis
"cough, night sweats, weight loss, prolonged fever",Tuberculosis
"diarrhea, severe dehydration, vomiting",Cholera
"skin blisters, painful lesions",Herpes (HSV)
"fever, joint pain, red eyes",Zika Virus
"high fever, bleeding gums, jaundice",Yellow Fever
"rash, conjunctivitis, mild fever",Rubella
"stomach cramps, watery diarrhea, vomiting",Gastroenteritis
"headache, muscle pain, fever, vomiting",Leptospirosis
"stiff neck, high fever, severe headache",Meningitis
"fever, swollen glands, sore throat, fatigue",Mononucleosis
"persistent cough with blood",Bronchiectasis
"fever, severe joint pain, bleeding, low platelets","Hemorrhagic Fever (e.g., Ebola)"
"fever, jaundice, abdominal pain",Hepatitis A
"fever, jaundice, chronic liver issues",Hepatitis B
"frequent urination, thirst, fatigue, blurred vision",Diabetes Mellitus
"headache, dizziness, nosebleeds, blurred vision",Hypertension
"chest pressure, pain during exertion",Angina
"irregular heartbeat, palpitations, chest discomfort",Cardiac Arrhythmia
"joint pain, swelling, stiffness, morning stiffness",Rheumatoid Arthritis
"bone pain, weakness, risk of fractures",Osteoporosis
"fatigue, pale skin, shortness of breath",Anemia
"shortness of breath, chronic cough, sputum",Chronic Obstructive Pulmonary Disease (COPD)
"back pain, stiffness, reduced mobility",Spondylitis
"weight gain, dry skin, cold intolerance",Hypothyroidism
"weight loss, heat intolerance, tremors",Hyperthyroidism
"swelling in legs, reduced urine output, breathlessness",Chronic Kidney Disease
"chest pain, shortness of breath, sweating",Myocardial Infarction (Heart Attack)
"difficulty concentrating, memory issues, progressive decline",Alzheimer's Disease
"tremor at rest, rigidity, slow movement",Parkinson's Disease
"sudden weakness, slurred speech, facial droop",Stroke
"yellow skin, dark urine, abdominal pain, fatigue",Jaundice
"nausea, vomiting, abdominal pain after food",Food Poisoning
"heartburn, acid reflux, chest discomfort after meals",Gastroesophageal Reflux Disease (GERD)
"constipation, abdominal discomfort, bloating",Irritable Bowel Syndrome (IBS)
"diarrhea, abdominal pain, weight loss",Inflammatory Bowel Disease (Ulcerative Colitis/Crohn's)
"abdominal pain, bloating, fatty stools",Gallstones / Cholelithiasis
"difficulty swallowing, chest pain when eating",Esophagitis
"severe headache, nausea, visual disturbance",Migraine
"seizures, loss of consciousness, convulsions",Epilepsy
"anxiety, panic attacks, palpitations",Anxiety Disorder
"persistent low mood, loss of interest",Depression
"burning urination, frequent urge, lower abdominal pain",Urinary Tract Infection (UTI)
"pelvic pain, abnormal bleeding, infertility",Polycystic Ovary Syndrome (PCOS)
"genital ulcers, discharge, pain","Sexually Transmitted Infection (e.g., Chlamydia/Gonorrhea)"
"patchy red scaly skin, itching",Psoriasis
"hives, swelling, itchy red welts",Urticaria (Hives)
"white patches in mouth, pain",Oral Thrush (Candidiasis)
"easy bruising, bleeding, fatigue",Leukemia
"unexplained weight loss, night sweats, lymph node swelling",Lymphoma
"fever, bleeding, organ failure (severe)",Severe Viral Hemorrhagic Fever
"bone pain, frequent fractures, weakness",Multiple Myeloma / Bone Cancer
"fever, joint pain, loss of appetite, muscle ache, night sweats",Heat Stroke
"rash, cough, dizziness",Pneumonia
"headache, rash, sore throat",Bronchitis
"rash, cough, sweating, nausea, fatigue",Pneumonia
"sneezing, abdominal pain, rash, joint pain",Chikungunya
"abdominal pain, weakness, dizziness, vomiting",Leukemia
"muscle ache, headache, rash, sneezing",Osteoarthritis
"loss of appetite, sweating, fatigue, chest pain, vomiting",Skin Allergy
"sneezing, nausea",Peptic Ulcer
"dizziness, shortness of breath, night sweats",Epilepsy
"rash, confusion",Meningitis
"loss of appetite, headache, confusion, cough, vomiting",Encephalitis
"diarrhea, muscle ache, sweating, night sweats, blurred vision",COVID-19
"sneezing, sore throat, blurred vision",Rheumatoid Arthritis
"weakness, muscle ache, rash",Hypertension
"sore throat, joint pain, chest pain, loss of appetite",Migraine
"fatigue, shortness of breath",Epilepsy
"nausea, dizziness, night sweats",Food Poisoning
"rash, sneezing, fatigue, vomiting, muscle ache",Osteoarthritis
"headache, diarrhea, nausea, confusion, shortness of breath",UTI
"loss of appetite, nausea, weakness",Osteoarthritis
"abdominal pain, muscle ache, shortness of breath, confusion",Pneumonia
"sore throat, loss of appetite, confusion, joint pain, weakness",Chickenpox
"joint pain, muscle ache, sneezing, loss of appetite, diarrhea",Measles
"chest pain, confusion, nausea, night sweats",Measles
"diarrhea, weakness, weight loss, night sweats, joint pain",Anemia
"fever, sneezing, rash, confusion, shortness of breath",Gastroenteritis
"night sweats, loss of appetite",Chikungunya
"headache, cough, sweating, vomiting",Anemia
"sweating, night sweats, shortness of breath, blurred vision",Hepatitis B
"sneezing, fever",Jaundice
"cough, weight loss, sneezing",Encephalitis
"sweating, diarrhea",Hypertension
"dizziness, vomiting",Hypertension
"sore throat, weakness",Pneumonia
"confusion, headache, weakness",Pneumonia
"dizziness, cough, shortness of breath, loss of appetite",Food Poisoning
"dizziness, sweating, weakness",Leukemia
"fever, sweating, cough, weight loss, confusion",COVID-19
"fever, headache, vomiting",Hepatitis C
"muscle ache, abdominal pain",Hypertension
"diarrhea, loss of appetite",Rheumatoid Arthritis
"abdominal pain, night sweats, fatigue, cough, sore throat",Hepatitis B
"fatigue, joint pain",Encephalitis
"night sweats, rash, blurred vision, sneezing, fatigue",Food Poisoning
"rash, chest pain",Leukemia
"weakness, sore throat",Appendicitis
"headache, loss of appetite, cough",Appendicitis
"sore throat, blurred vision",Jaundice
"muscle ache, headache, sweating, diarrhea",Heat Stroke
"fever, weakness, sore throat, diarrhea, fatigue",Pneumonia
"loss of appetite, sore throat, blurred vision",Food Poisoning
"fatigue, blurred vision",Migraine
"joint pain, loss of appetite, weight loss",Psoriasis
"sore throat, nausea, headache, fatigue",Chickenpox
"vomiting, nausea, weakness, fatigue",Bronchitis
"cough, weakness",Eczema
"fever, abdominal pain, shortness of breath",Bronchitis
"sore throat, rash, confusion, weakness",Leukemia
"blurred vision, cough, weight loss, dizziness",Heat Stroke
"cough, chest pain, confusion, joint pain",Meningitis
"rash, nausea, joint pain",Chikungunya
"joint pain, fever, nausea",Diabetes
"cough, shortness of breath, nausea, fever",Skin Allergy
"nausea, confusion, chest pain, shortness of breath",UTI
"dizziness, joint pain, chest pain, confusion, sneezing",Diabetes
"abdominal pain, dizziness, nausea, fatigue",Sinusitis
"weakness, blurred vision, confusion",Pneumonia
"rash, muscle ache, loss of appetite, nausea",Chickenpox
"cough, fatigue",Kidney Infection
"dizziness, joint pain, abdominal pain, fatigue, sore throat",Osteoarthritis
"fatigue, weakness, nausea, sneezing",Anemia
"fever, nausea, weight loss, vomiting, night sweats",Skin Allergy
"rash, dizziness, nausea",Gastroenteritis
"muscle ache, fatigue",Leukemia
"abdominal pain, fever, night sweats, fatigue, vomiting",Bronchitis
"sneezing, weakness",Sinusitis
"sneezing, joint pain, weakness, fatigue",Hypertension
"blurred vision, chest pain, confusion",Hepatitis B
"sore throat, abdominal pain, cough, loss of appetite",Hepatitis B
"sore throat, confusion, muscle ache, vomiting",Hepatitis B
"blurred vision, vomiting, joint pain",Hepatitis C
"vomiting, sneezing, sore throat, chest pain, weakness",COVID-19
"sweating, abdominal pain, diarrhea, weakness",COVID-19
"joint pain, weight loss, fatigue, abdominal pain",Meningitis
"loss of appetite, weakness, dizziness",Hepatitis B
"headache, weight loss, confusion, muscle ache",Hypertension
"sneezing, loss of appetite",Peptic Ulcer
"weakness, rash, sore throat",Appendicitis
"loss of appetite, fever, shortness of breath, sneezing, dizziness",Heat Stroke
"shortness of breath, dizziness",Psoriasis
"vomiting, chest pain, joint pain",Epilepsy
"loss of appetite, weight loss",Bronchitis
"blurred vision, sneezing, joint pain",Hypertension
"sneezing, dizziness, shortness of breath, joint pain",Appendicitis
"nausea, fever, vomiting, cough",Pneumonia
"rash, diarrhea, weakness",Gastroenteritis
"blurred vision, vomiting, cough",Encephalitis
"sore throat, fever, blurred vision, nausea, night sweats",Migraine
"chest pain, blurred vision, nausea, vomiting, weight loss",Allergic Rhinitis
"sneezing, chest pain",Anemia
"dizziness, loss of appetite, joint pain, fever, shortness of breath",Tuberculosis
"fever, weakness",Anemia
"sneezing, fatigue, headache, dizziness, loss of appetite",Diabetes
