Disease,Diet_Recommendations
Malaria,Maintain hydration and a balanced diet to support recovery; treat with recommended antimalarials. Emphasize adequate calories and protein during convalescence.
Typhoid,"Ensure adequate hydration and easy-to-digest nutritious foods (soups, rice, lean protein) during treatment. Follow full antibiotic course and gradually return to normal diet as tolerated."
Dengue,"Ensure adequate hydration (oral/IV as directed) and maintain light nutritious meals; avoid NSAIDs (aspirin, ibuprofen) due to bleeding risk. Focus on easily digestible foods to maintain strength."
Influenza (Flu),"Maintain hydration, consume balanced meals and adequate protein to support immune function. Small frequent meals can help if appetite is low; rest and treat fever per advice."
Common Cold,"Stay hydrated, consume vitamin-rich soups and easy-to-digest foods, and rest. Include fruits, vegetables, and warm fluids to ease symptoms."
COVID-19,"Maintain hydration and a balanced diet rich in fruits, vegetables, whole grains, and lean proteins. Small frequent meals may help if appetite is reduced; follow clinician advice for supplements if recommended."
Pneumonia,"Ensure good caloric intake and adequate protein to support recovery. Maintain hydration and consume nutrient-dense, easy-to-eat foods if appetite is reduced."
Measles,"Maintain a balanced, nutrient-dense diet: plenty of vegetables and fruits, whole grains, lean proteins, healthy fats, and adequate hydration. Limit processed foods, excessive sugar, and excessive alcohol; consult a registered dietitian for disease-specific personalized guidance."
Chickenpox,"Maintain a balanced, nutrient-dense diet: plenty of vegetables and fruits, whole grains, lean proteins, healthy fats, and adequate hydration. Limit processed foods, excessive sugar, and excessive alcohol; consult a registered dietitian for disease-specific personalized guidance."
Allergic Rhinitis,"Follow a balanced diet rich in anti-inflammatory foods (fruits, vegetables, omega-3 sources) and avoid highly processed foods. Tailor to tolerance and medical guidance."
Tonsillitis,"Follow a balanced diet rich in anti-inflammatory foods (fruits, vegetables, omega-3 sources) and avoid highly processed foods. Tailor to tolerance and medical guidance."
Tuberculosis,"Eat a high-calorie, high-protein diet to support weight maintenance and recovery; include fruits, vegetables, and adequate calories during treatment."
Cholera,"Maintain a balanced, nutrient-dense diet: plenty of vegetables and fruits, whole grains, lean proteins, healthy fats, and adequate hydration. Limit processed foods, excessive sugar, and excessive alcohol; consult a registered dietitian for disease-specific personalized guidance."
Herpes (HSV),"Maintain a balanced, nutrient-dense diet: plenty of vegetables and fruits, whole grains, lean proteins, healthy fats, and adequate hydration. Limit processed foods, excessive sugar, and excessive alcohol; consult a registered dietitian for disease-specific personalized guidance."
Zika Virus,"Maintain a balanced, nutrient-dense diet: plenty of vegetables and fruits, whole grains, lean proteins, healthy fats, and adequate hydration. Limit processed foods, excessive sugar, and excessive alcohol; consult a registered dietitian for disease-specific personalized guidance."
Yellow Fever,"Maintain a balanced, nutrient-dense diet: plenty of vegetables and fruits, whole grains, lean proteins, healthy fats, and adequate hydration. Limit processed foods, excessive sugar, and excessive alcohol; consult a registered dietitian for disease-specific personalized guidance."
Rubella,"Maintain a balanced, nutrient-dense diet: plenty of vegetables and fruits, whole grains, lean proteins, healthy fats, and adequate hydration. Limit processed foods, excessive sugar, and excessive alcohol; consult a registered dietitian for disease-specific personalized guidance."
Gastroenteritis,"Maintain hydration and electrolyte balance; choose bland, easy-to-digest foods (BRAT: bananas, rice, applesauce, toast) during acute symptoms, then reintroduce balanced foods."
Leptospirosis,"Maintain a balanced, nutrient-dense diet: plenty of vegetables and fruits, whole grains, lean proteins, healthy fats, and adequate hydration. Limit processed foods, excessive sugar, and excessive alcohol; consult a registered dietitian for disease-specific personalized guidance."
Meningitis,"Follow a balanced diet rich in anti-inflammatory foods (fruits, vegetables, omega-3 sources) and avoid highly processed foods. Tailor to tolerance and medical guidance."
Mononucleosis,"Maintain a balanced, nutrient-dense diet: plenty of vegetables and fruits, whole grains, lean proteins, healthy fats, and adequate hydration. Limit processed foods, excessive sugar, and excessive alcohol; consult a registered dietitian for disease-specific personalized guidance."
Bronchiectasis,"Maintain a balanced, nutrient-dense diet: plenty of vegetables and fruits, whole grains, lean proteins, healthy fats, and adequate hydration. Limit processed foods, excessive sugar, and excessive alcohol; consult a registered dietitian for disease-specific personalized guidance."
"Hemorrhagic Fever (e.g., Ebola)","Maintain a balanced, nutrient-dense diet: plenty of vegetables and fruits, whole grains, lean proteins, healthy fats, and adequate hydration. Limit processed foods, excessive sugar, and excessive alcohol; consult a registered dietitian for disease-specific personalized guidance."
Hepatitis A,"Avoid alcohol and hepatotoxic substances; reduce saturated fats and highly processed foods. Emphasize balanced meals with lean protein, complex carbs, fruits, and vegetables."
Hepatitis B,"Avoid alcohol, limit high-fat foods, and maintain balanced nutrition with lean proteins and vegetables. Follow medical guidance on antiviral therapy and liver-friendly diet."
Diabetes Mellitus,"Focus on consistent carbohydrates and portion control; prefer whole grains, vegetables, lean proteins, and healthy fats. Limit sugary foods and monitor blood glucose so meals are balanced."
Hypertension,"Adopt a low-sodium, DASH-style diet: plenty of fruits, vegetables, whole grains, and low-fat dairy. Reduce processed/packaged foods and limit added salt. Maintain healthy weight and cut back on alcohol."
Angina,"Maintain a balanced, nutrient-dense diet: plenty of vegetables and fruits, whole grains, lean proteins, healthy fats, and adequate hydration. Limit processed foods, excessive sugar, and excessive alcohol; consult a registered dietitian for disease-specific personalized guidance."
Cardiac Arrhythmia,"Limit saturated and trans fats, choose lean proteins and oily fish, increase vegetables and whole grains. Reduce sodium and processed foods; include heart-healthy fats like nuts and olive oil."
Rheumatoid Arthritis,"Follow a balanced diet rich in anti-inflammatory foods (fruits, vegetables, omega-3 sources) and avoid highly processed foods. Tailor to tolerance and medical guidance."
Osteoporosis,"Maintain a balanced, nutrient-dense diet: plenty of vegetables and fruits, whole grains, lean proteins, healthy fats, and adequate hydration. Limit processed foods, excessive sugar, and excessive alcohol; consult a registered dietitian for disease-specific personalized guidance."
Anemia,"Maintain a balanced, nutrient-dense diet: plenty of vegetables and fruits, whole grains, lean proteins, healthy fats, and adequate hydration. Limit processed foods, excessive sugar, and excessive alcohol; consult a registered dietitian for disease-specific personalized guidance."
Chronic Obstructive Pulmonary Disease (COPD),"Maintain a balanced, nutrient-dense diet: plenty of vegetables and fruits, whole grains, lean proteins, healthy fats, and adequate hydration. Limit processed foods, excessive sugar, and excessive alcohol; consult a registered dietitian for disease-specific personalized guidance."
Spondylitis,"Follow a balanced diet rich in anti-inflammatory foods (fruits, vegetables, omega-3 sources) and avoid highly processed foods. Tailor to tolerance and medical guidance."
Hypothyroidism,"Maintain a balanced, nutrient-dense diet: plenty of vegetables and fruits, whole grains, lean proteins, healthy fats, and adequate hydration. Limit processed foods, excessive sugar, and excessive alcohol; consult a registered dietitian for disease-specific personalized guidance."
Hyperthyroidism,"Maintain a balanced, nutrient-dense diet: plenty of vegetables and fruits, whole grains, lean proteins, healthy fats, and adequate hydration. Limit processed foods, excessive sugar, and excessive alcohol; consult a registered dietitian for disease-specific personalized guidance."
