Disease,Precautions
Malaria,"Use mosquito nets/repellents, eliminate standing water, seek prompt treatment for fever."
Typhoid,"Drink safe water, practice food hygiene, wash hands, and get vaccinated when recommended."
Dengue,"Avoid mosquito bites (nets/repellents), eliminate breeding sites, seek care for high fever."
Influenza (Flu),"Get annual flu vaccine, practice hand hygiene and cover coughs; stay home when sick."
Common Cold,"Frequent handwashing, avoid close contact with sick people, rest and fluids."
COVID-19,"Follow vaccination guidance, wear masks in high-risk settings, isolate when positive, practise hand hygiene."
Pneumonia,"Keep vaccinations up to date, avoid smoking, seek early care for breathing difficulty."
Measles,"Follow standard hygiene measures, avoid known risks, and consult a healthcare professional for disease-specific precautions."
Chickenpox,"Follow standard hygiene measures, avoid known risks, and consult a healthcare professional for disease-specific precautions."
Allergic Rhinitis,"Avoid known irritants, use prescribed anti-inflammatories if recommended, and seek care for worsening symptoms."
Tonsillitis,"Avoid known irritants, use prescribed anti-inflammatories if recommended, and seek care for worsening symptoms."
Tuberculosis,"Cover coughs, ensure good ventilation, complete full course of TB therapy; get tested if exposed."
Cholera,"Follow standard hygiene measures, avoid known risks, and consult a healthcare professional for disease-specific precautions."
Herpes (HSV),"Follow standard hygiene measures, avoid known risks, and consult a healthcare professional for disease-specific precautions."
Zika Virus,"Practice hand hygiene, respiratory etiquette, and isolate if contagious; follow vaccination guidance where available."
Yellow Fever,"Monitor temperature, stay hydrated, use antipyretics as needed, and seek medical attention if high or persistent."
Rubella,"Follow standard hygiene measures, avoid known risks, and consult a healthcare professional for disease-specific precautions."
Gastroenteritis,"Avoid known irritants, use prescribed anti-inflammatories if recommended, and seek care for worsening symptoms."
Leptospirosis,"Follow standard hygiene measures, avoid known risks, and consult a healthcare professional for disease-specific precautions."
Meningitis,"Avoid known irritants, use prescribed anti-inflammatories if recommended, and seek care for worsening symptoms."
Mononucleosis,"Follow standard hygiene measures, avoid known risks, and consult a healthcare professional for disease-specific precautions."
Bronchiectasis,"Avoid smoking, reduce exposures to pollutants, and follow inhaler/medication plan."
"Hemorrhagic Fever (e.g., Ebola)","Monitor temperature, stay hydrated, use antipyretics as needed, and seek medical attention if high or persistent."
Hepatitis A,"Avoid known irritants, use prescribed anti-inflammatories if recommended, and seek care for worsening symptoms."
Hepatitis B,"Get vaccinated, avoid sharing needles, practice safe sex and blood-safety measures."
